Condition,Angle
DMSO,178.831
DMSO,265.657
DMSO,237.465
DMSO,196.422
DMSO,201.251
DMSO,119.358
DMSO,225
DMSO,184.086
DMSO,182.49
DMSO,231.953
DMSO,233.13
DMSO,172.725
DMSO,174.289
DMSO,231.582
DMSO,188.746
DMSO,182.121
DMSO,112.109
DMSO,126.158
DMSO,158.459
DMSO,186.203
DMSO,184.399
DMSO,182.337
DMSO,210.7
DMSO,197.241
DMSO,196.607
DMSO,190.222
DMSO,205.56
DMSO,213.408
DMSO,194.995
DMSO,202.521
DMSO,192.907
DMSO,206.98
DMSO,172.875
DMSO,152.488
DMSO,156.318
DMSO,162.688
DMSO,146.041
DMSO,187.001
DMSO,168.275
DMSO,145.62
DMSO,133.452
DMSO,182.437
DMSO,198.97
DMSO,170.754
DMSO,155.323
DMSO,163.78
DMSO,219.428
DMSO,198.435
DMSO,199.904
DMSO,195.732
DMSO,187.386
DMSO,181.528
DMSO,190.521
DMSO,194.657
DMSO,137.675
DMSO,147.724
DMSO,129.71
DMSO,142.943
DMSO,189.462
DMSO,171.469
DMSO,173.66
DMSO,164.846
DMSO,158.429
DMSO,170.134
DMSO,177.709
DMSO,352.725
DMSO,151.049
DMSO,179.029
DMSO,187.651
DMSO,200.186
DMSO,231.34
DMSO,245.158
DMSO,234.345
DMSO,223.531
DMSO,207.051
DMSO,217.185
DMSO,213.69
DMSO,180
DMSO,181.332
DMSO,193.134
DMSO,273.668
DMSO,270
DMSO,231.71
DMSO,257.347
DMSO,249.567
DMSO,244.654
DMSO,144.866
DMSO,239.534
DMSO,165.069
DMSO,143.973
DMSO,138.576
DMSO,246.125
DMSO,279.273
DMSO,283.092
DMSO,172.147
DMSO,152.103
DMSO,202.62
DMSO,203.86
DMSO,173.884
DMSO,180
DMSO,195.422
DMSO,181.569
DMSO,185.013
DMSO,210.192
DMSO,210.964
DMSO,221.496
DMSO,231.71
DMSO,193.134
DMSO,55.67
DMSO,280.886
DMSO,270
DMSO,292.306
DMSO,251.565
DMSO,310.426
DMSO,277.125
DMSO,271.507
DMSO,233.842
DMSO,287.526
DMSO,252.553
DMSO,228.013
DMSO,104.036
DMSO,303.311
DMSO,306.87
DMSO,262.875
DMSO,261.119
DMSO,249.444
DMSO,296.565
DMSO,142.125
DMSO,138.122
DMSO,157.249
DMSO,156.615
DMSO,164.055
DMSO,211.827
DMSO,164.32
DMSO,176.186
DMSO,172.875
DMSO,184.764
DMSO,156.425
DMSO,110.854
DMSO,144.605
DMSO,250.641
DMSO,208.61
DMSO,196.928
DMSO,184.236
DMSO,199.654
DMSO,218.418
DMSO,205.115
DMSO,183.366
DMSO,183.302
DMSO,195.642
DMSO,166.264
DMSO,105.255
DMSO,288.435
DMSO,102.804
DMSO,158.499
DMSO,170.64
DMSO,180.774
DMSO,223.452
DMSO,229.764
DMSO,251.175
DMSO,193.392
DMSO,260.272
DMSO,250.346
DMSO,135.939
DMSO,256.464
DMSO,255.256
DMSO,258.465
DMSO,125.538
DMSO,274.236
DMSO,286.928
DMSO,281.041
DMSO,110.807
DMSO,183.652
DMSO,191.889
DMSO,219.036
DMSO,225
DMSO,215.676
DMSO,282.907
DMSO,281.976
DMSO,273.652
DMSO,264.289
DMSO,283.431
DMSO,282.308
DMSO,260.69
DMSO,245.821
DMSO,241.232
DMSO,280.84
DMSO,271.397
DMSO,264.806
DMSO,261.87
DMSO,29.578
DMSO,271.245
DMSO,267.563
DMSO,308.501
DMSO,306.193
DMSO,294.444
DMSO,261.529
DMSO,177.064
DMSO,165.141
DMSO,164.932
DMSO,147.529
DMSO,316.273
DMSO,322.306
DMSO,268.727
DMSO,262.333
DMSO,231.667
DMSO,216.87
DMSO,194.534
DMSO,243.435
DMSO,220.601
DMSO,214.061
DMSO,115.253
DMSO,146.821
DMSO,282.529
DMSO,281.31
DMSO,274.485
DMSO,244.983
DMSO,205.278
DMSO,212.196
DMSO,329.534
DMSO,134.119
DMSO,210.411
DMSO,219.936
DMSO,232.496
DMSO,200.323
DMSO,169.114
DMSO,173.246
DMSO,209.745
DMSO,236.768
DMSO,151.607
DMSO,178.531
DMSO,141.766
