condition,angle
apical_after_healing,261.87
apical_after_healing,208.968
apical_after_healing,135
apical_after_healing,151.243
apical_after_healing,140.412
apical_after_healing,124.509
apical_after_healing,140.08
apical_after_healing,166.701
apical_after_healing,192.051
apical_after_healing,163.025
apical_after_healing,173.387
apical_after_healing,123.996
apical_after_healing,68.875
apical_after_healing,264.094
apical_after_healing,235.125
apical_after_healing,307.694
apical_after_healing,284.036
apical_after_healing,149.959
apical_after_healing,149.995
apical_after_healing,161.2
apical_after_healing,236.976
apical_after_healing,262.747
apical_after_healing,126.674
apical_after_healing,295.346
apical_after_healing,108.435
apical_after_healing,124.548
apical_after_healing,114.102
apical_after_healing,181.432
apical_after_healing,212.471
apical_after_healing,238.134
apical_after_healing,230.332
apical_after_healing,235.008
apical_after_healing,187.253
apical_after_healing,191.31
apical_after_healing,194.783
apical_after_healing,204.228
apical_after_healing,187.696
apical_after_healing,217.504
apical_after_healing,186.882
apical_after_healing,192.426
apical_after_healing,185.08
apical_after_healing,257.471
apical_after_healing,257.905
apical_after_healing,168.69
apical_after_healing,211.159
apical_after_healing,191.31
apical_after_healing,108.435
apical_after_healing,263.541
apical_after_healing,104.036
apical_after_healing,92.203
apical_after_healing,151.75
apical_after_healing,223.995
apical_after_healing,237.381
apical_after_healing,256.464
apical_after_healing,161.565
apical_after_healing,187.815
apical_after_healing,140.194
apical_after_healing,135
apical_after_healing,313.152
apical_after_healing,119.055
apical_after_healing,45.764
apical_after_healing,48.814
apical_after_healing,20.095
apical_after_healing,113.199
apical_after_healing,203.07
apical_after_healing,78.69
apical_after_healing,108.853
apical_after_healing,200.41
apical_after_healing,223.531
apical_after_healing,223.363
apical_after_healing,210.964
apical_after_healing,259.16
apical_after_healing,253.887
apical_after_healing,183.879
apical_after_healing,164.745
apical_after_healing,152.56
apical_after_healing,151.46
apical_after_healing,154.654
apical_after_healing,203.962
apical_after_healing,211.701
apical_after_healing,217.266
apical_after_healing,186.34
apical_after_healing,140.356
apical_after_healing,115.821
apical_after_healing,150.101
apical_after_healing,178.807
apical_after_healing,180
apical_after_healing,143.393
apical_after_healing,141.953
apical_after_healing,120.964
apical_after_healing,130.914
apical_after_healing,173.66
apical_after_healing,192.265
apical_after_healing,185.44
apical_after_healing,112.249
apical_after_healing,152.592
apical_after_healing,219.987
apical_after_healing,214.216
apical_after_healing,69.864
apical_after_healing,137.862
apical_after_healing,126.87
apical_after_healing,240.803
apical_after_healing,265.764
apical_after_healing,230.194
apical_after_healing,244.537
apical_after_healing,247.166
apical_after_healing,234.866
apical_after_healing,236.31
apical_after_healing,214.077
apical_after_healing,227.49
apical_after_healing,197.526
apical_after_healing,270
apical_after_healing,291.801
apical_after_healing,276.582
apical_after_healing,263.29
apical_after_healing,283.134
apical_after_healing,316.848
apical_after_healing,255.579
apical_after_healing,198.004
apical_after_healing,186.009
apical_after_healing,199.29
apical_after_healing,151.504
apical_after_healing,164.055
apical_after_healing,113.199
apical_after_healing,139.399
apical_after_healing,236.634
apical_after_healing,248.199
apical_after_healing,99.09
apical_after_healing,160.201
apical_after_healing,273.691
apical_after_healing,74.055
apical_after_healing,295.201
apical_after_healing,343.301
apical_after_healing,332.7
apical_after_healing,252.646
apical_after_healing,270
apical_after_healing,345.069
apical_after_healing,299.358
apical_after_healing,310.156
apical_after_healing,260.727
apical_after_healing,204.944
apical_after_healing,206.565
apical_after_healing,217.147
apical_after_healing,208.61
apical_after_healing,219.806
apical_after_healing,325.491
apical_after_healing,239.47
apical_after_healing,239.534
apical_after_healing,242.447
apical_after_healing,29.055
apical_after_healing,252.897
apical_after_healing,132.51
apical_after_healing,360
apical_after_healing,4.764
apical_after_healing,360
apical_after_healing,235.561
apical_after_healing,276.953
apical_after_healing,284.036
apical_after_healing,274.399
apical_after_healing,111.251
