Condition,Angle
apical_intact,204.974
apical_intact,231.71
apical_intact,135.401
apical_intact,128.967
apical_intact,261.674
apical_intact,202.782
apical_intact,218.66
apical_intact,184.97
apical_intact,267.101
apical_intact,277.326
apical_intact,250.56
apical_intact,210.101
apical_intact,169.439
apical_intact,158.806
apical_intact,155.854
apical_intact,194.47
apical_intact,188.471
apical_intact,247.38
apical_intact,198.886
apical_intact,197.354
apical_intact,194.036
apical_intact,113.806
apical_intact,128.418
apical_intact,238.173
apical_intact,326.689
apical_intact,248.199
apical_intact,185.262
apical_intact,207.759
apical_intact,84.56
apical_intact,174.218
apical_intact,52.253
apical_intact,39.958
apical_intact,28.072
apical_intact,56.976
apical_intact,16.477
apical_intact,273.576
apical_intact,211.477
apical_intact,20.556
apical_intact,68.199
apical_intact,268.452
apical_intact,99.926
apical_intact,105.018
apical_intact,150.524
apical_intact,176.532
apical_intact,159.444
apical_intact,72.474
apical_intact,103.627
apical_intact,46.637
apical_intact,217.648
apical_intact,209.358
apical_intact,221.009
apical_intact,168.857
apical_intact,171.545
apical_intact,158.385
apical_intact,80.87
apical_intact,120.466
apical_intact,117.3
apical_intact,111.501
apical_intact,90
apical_intact,61.189
apical_intact,306.347
apical_intact,313.698
apical_intact,315.744
apical_intact,278.797
apical_intact,258.879
apical_intact,303.69
apical_intact,298.61
apical_intact,76.551
apical_intact,85.684
apical_intact,64.179
apical_intact,169.186
apical_intact,331.113
apical_intact,200.556
apical_intact,194.421
apical_intact,62.784
apical_intact,67.036
apical_intact,107.241
apical_intact,268.025
apical_intact,30.579
apical_intact,246.615
apical_intact,236.31
apical_intact,104.207
apical_intact,111.413
apical_intact,105.255
apical_intact,237.724
apical_intact,221.424
apical_intact,40.236
apical_intact,167.593
apical_intact,202.932
apical_intact,173.66
apical_intact,23.199
apical_intact,92.386
apical_intact,251.301
apical_intact,103.761
apical_intact,237.724
apical_intact,204.864
apical_intact,163.899
apical_intact,80.754
apical_intact,127.648
apical_intact,90
apical_intact,210.174
apical_intact,192.155
apical_intact,207.597
apical_intact,86.634
apical_intact,125.538
apical_intact,105.524
apical_intact,233.471
apical_intact,198.699
apical_intact,202.249
apical_intact,136.469
apical_intact,145.437
apical_intact,157.166
apical_intact,295.201
apical_intact,311.009
apical_intact,91.736
apical_intact,278.13
apical_intact,281.31
apical_intact,91.975
apical_intact,123.69
apical_intact,101.31
apical_intact,208.301
apical_intact,106.504
apical_intact,90
apical_intact,183.27
apical_intact,180
apical_intact,176.309
apical_intact,243.435
apical_intact,212.768
apical_intact,219.053
apical_intact,265.914
apical_intact,277.883
apical_intact,260.074
apical_intact,250.498
apical_intact,250.787
apical_intact,220.236
apical_intact,186.582
apical_intact,171.027
apical_intact,200.807
apical_intact,176.496
apical_intact,96.17
apical_intact,235.176
apical_intact,133.877
apical_intact,261.573
apical_intact,245.854
apical_intact,243.435
apical_intact,245.376
apical_intact,259.216
apical_intact,250.463
apical_intact,202.932
apical_intact,325.008
apical_intact,256.504
apical_intact,160.56
apical_intact,146.31
apical_intact,149.421
apical_intact,235.84
apical_intact,223.995
apical_intact,203.318
apical_intact,254.678
apical_intact,279.462
