condition,Length
apical_intact,3.993
apical_intact,3.623
apical_intact,5.001
apical_intact,4.325
apical_intact,2.075
apical_intact,2.725
apical_intact,0.939
apical_intact,2.322
apical_intact,3.904
apical_intact,3.468
apical_intact,2.676
apical_intact,3.968
apical_intact,2.956
apical_intact,2.615
apical_intact,1.597
apical_intact,3.142
apical_intact,2.337
apical_intact,1.927
apical_intact,2.027
apical_intact,1.672
apical_intact,1.635
apical_intact,1.866
apical_intact,1.838
apical_intact,1.689
apical_intact,2.053
apical_intact,2.135
apical_intact,3.783
apical_intact,3.193
apical_intact,2.091
apical_intact,3.936
apical_intact,1.943
apical_intact,2.393
apical_intact,3.371
apical_intact,1.182
apical_intact,3.67
apical_intact,3.179
apical_intact,2.848
apical_intact,3.812
apical_intact,1.335
apical_intact,1.835
apical_intact,2.013
apical_intact,2.104
apical_intact,1.31
apical_intact,1.639
apical_intact,2.118
apical_intact,1.975
apical_intact,1.683
apical_intact,2.454
apical_intact,2.191
apical_intact,2.73
apical_intact,1.511
apical_intact,3.334
apical_intact,3.708
apical_intact,2.826
apical_intact,2.811
apical_intact,1.955
apical_intact,1.729
apical_intact,1.758
apical_intact,0.793
apical_intact,1.131
apical_intact,3.262
apical_intact,3.085
apical_intact,2.699
apical_intact,4.213
apical_intact,5.91
apical_intact,3.932
apical_intact,3.727
apical_intact,2.344
apical_intact,2.635
apical_intact,3.414
apical_intact,4.491
apical_intact,1.642
apical_intact,5.082
apical_intact,5.374
apical_intact,1.951
apical_intact,3.176
apical_intact,1.505
apical_intact,1.438
apical_intact,1.267
apical_intact,1.998
apical_intact,1.072
apical_intact,4.039
apical_intact,2.715
apical_intact,2.261
apical_intact,3.342
apical_intact,2.248
apical_intact,1.688
apical_intact,2.538
apical_intact,2.799
apical_intact,3.142
apical_intact,3.397
apical_intact,1.191
apical_intact,3.401
apical_intact,2.501
apical_intact,1.114
apical_intact,4.48
apical_intact,5.004
apical_intact,2.159
apical_intact,2.191
apical_intact,2.33
apical_intact,2.465
apical_intact,3.296
apical_intact,2.461
apical_intact,2.532
apical_intact,1.279
apical_intact,0.926
apical_intact,1.666
apical_intact,3.401
apical_intact,2.356
apical_intact,2.735
apical_intact,2.709
apical_intact,3.066
apical_intact,1.863
apical_intact,1.511
apical_intact,3.273
apical_intact,1.402
apical_intact,0.758
apical_intact,1.438
apical_intact,1.43
apical_intact,0.758
apical_intact,2.927
apical_intact,1.396
apical_intact,1.338
apical_intact,1.738
apical_intact,1.19
apical_intact,1.54
apical_intact,1.108
apical_intact,5.129
apical_intact,3.383
apical_intact,1.391
apical_intact,3.253
apical_intact,2.013
apical_intact,2.524
apical_intact,3.464
apical_intact,4.221
apical_intact,3.892
apical_intact,3.814
apical_intact,2.651
apical_intact,2.433
apical_intact,1.845
apical_intact,1.389
apical_intact,1.788
apical_intact,1.353
apical_intact,1.575
apical_intact,1.441
apical_intact,1.309
apical_intact,3.179
apical_intact,1.63
apical_intact,2.799
apical_intact,1.815
apical_intact,1.274
apical_intact,1.787
apical_intact,0.536
apical_intact,1.267
apical_intact,1.677
apical_intact,1.998
apical_intact,3.131
apical_intact,3.752
apical_intact,2.412
apical_intact,1.929
apical_intact,1.988
apical_intact,0.894
apical_intact,1.377
apical_intact,2.865
apical_intact,3.561
apical_intact,2.104
apical_intact,2.312
apical_intact,2.161
apical_intact,1.758
apical_intact,3.234
apical_intact,2.826
apical_intact,1.552
apical_intact,4.15
apical_intact,2.708
apical_intact,2.161
apical_intact,3.018
