condition,angle
apical_skinned,309.094
apical_skinned,268.807
apical_skinned,268.315
apical_skinned,270
apical_skinned,239.621
apical_skinned,228.652
apical_skinned,141.009
apical_skinned,130.815
apical_skinned,72.759
apical_skinned,99.866
apical_skinned,270
apical_skinned,93.814
apical_skinned,301.535
apical_skinned,290.323
apical_skinned,270
apical_skinned,165.964
apical_skinned,168.69
apical_skinned,168.311
apical_skinned,232.431
apical_skinned,247.521
apical_skinned,296.565
apical_skinned,272.386
apical_skinned,261.119
apical_skinned,125.538
apical_skinned,304.216
apical_skinned,355.135
apical_skinned,338.199
apical_skinned,248.199
apical_skinned,265.236
apical_skinned,272.386
apical_skinned,298.072
apical_skinned,298.301
apical_skinned,280.491
apical_skinned,240.945
apical_skinned,186.843
apical_skinned,258.69
apical_skinned,286.699
apical_skinned,266.424
apical_skinned,304.509
apical_skinned,32.005
apical_skinned,306.87
apical_skinned,111.801
apical_skinned,147.995
apical_skinned,158.199
apical_skinned,300.256
apical_skinned,265.03
apical_skinned,70.821
apical_skinned,80.538
apical_skinned,127.569
apical_skinned,104.744
apical_skinned,253.301
apical_skinned,243.435
apical_skinned,255.256
apical_skinned,15.945
apical_skinned,311.634
apical_skinned,242.526
apical_skinned,76.759
apical_skinned,281.889
apical_skinned,250.346
apical_skinned,277.125
apical_skinned,123.275
apical_skinned,135
apical_skinned,308.29
apical_skinned,303.179
apical_skinned,78.232
apical_skinned,131.186
apical_skinned,272.862
apical_skinned,81.87
apical_skinned,260.538
apical_skinned,261.027
apical_skinned,252.35
apical_skinned,65.556
apical_skinned,167.276
apical_skinned,183.576
apical_skinned,116.565
apical_skinned,124.992
apical_skinned,118.301
apical_skinned,110.556
apical_skinned,248.199
apical_skinned,175.601
apical_skinned,294.228
apical_skinned,284.323
apical_skinned,178.152
apical_skinned,189.462
apical_skinned,291.038
apical_skinned,311.634
apical_skinned,51.843
apical_skinned,112.249
apical_skinned,131.82
apical_skinned,90
apical_skinned,90
apical_skinned,116.94
apical_skinned,119.407
apical_skinned,92.454
apical_skinned,94.145
apical_skinned,285.945
apical_skinned,237.995
apical_skinned,265.914
apical_skinned,296.565
apical_skinned,349.875
apical_skinned,77.471
apical_skinned,69.444
apical_skinned,100.008
apical_skinned,63.435
apical_skinned,257.905
apical_skinned,265.236
apical_skinned,36.469
apical_skinned,237.265
apical_skinned,257.905
apical_skinned,220.601
apical_skinned,231.71
apical_skinned,250.56
apical_skinned,57.529
apical_skinned,73.301
apical_skinned,109.44
apical_skinned,271.736
apical_skinned,291.084
apical_skinned,235.886
apical_skinned,156.125
apical_skinned,348.198
apical_skinned,345.324
apical_skinned,129.56
apical_skinned,333.034
apical_skinned,231.667
apical_skinned,322.125
apical_skinned,268.264
apical_skinned,339.044
apical_skinned,309.369
apical_skinned,292.036
apical_skinned,343.301
apical_skinned,327.894
apical_skinned,69.677
apical_skinned,2.337
apical_skinned,31.608
apical_skinned,33.232
apical_skinned,102.724
apical_skinned,162.525
apical_skinned,337.011
apical_skinned,200.772
apical_skinned,279.926
apical_skinned,214.077
apical_skinned,346.264
apical_skinned,321.843
apical_skinned,211.701
apical_skinned,240.018
apical_skinned,272.862
apical_skinned,145.222
apical_skinned,72.897
apical_skinned,312.138
apical_skinned,304.38
apical_skinned,286.798
apical_skinned,55.84
apical_skinned,75.651
apical_skinned,346.759
apical_skinned,330.255
apical_skinned,113.839
apical_skinned,31.43
apical_skinned,154.398
apical_skinned,32.347
apical_skinned,194.25
apical_skinned,138.18
apical_skinned,129.472
apical_skinned,211.185
apical_skinned,295.084
apical_skinned,182.121
apical_skinned,224.119
apical_skinned,247.751
apical_skinned,344.291
apical_skinned,346.373
apical_skinned,135
apical_skinned,286.39
apical_skinned,297.474
apical_skinned,284.036
apical_skinned,307.304
apical_skinned,247.068
apical_skinned,49.086
apical_skinned,160.346
apical_skinned,199.983
apical_skinned,325.008
apical_skinned,116.565
apical_skinned,117.759
