condition,length
apical_skinned,1.118
apical_skinned,2.603
apical_skinned,1.844
apical_skinned,2.06
apical_skinned,1.823
apical_skinned,1.806
apical_skinned,1.465
apical_skinned,1.576
apical_skinned,1.646
apical_skinned,1.266
apical_skinned,0.976
apical_skinned,1.63
apical_skinned,2.799
apical_skinned,1.561
apical_skinned,1.572
apical_skinned,3.13
apical_skinned,2.212
apical_skinned,1.606
apical_skinned,1.779
apical_skinned,1.702
apical_skinned,1.212
apical_skinned,2.605
apical_skinned,1.756
apical_skinned,1.866
apical_skinned,1.639
apical_skinned,2.558
apical_skinned,2.044
apical_skinned,1.168
apical_skinned,0.653
apical_skinned,1.302
apical_skinned,0.922
apical_skinned,0.801
apical_skinned,1.489
apical_skinned,1.675
apical_skinned,1.365
apical_skinned,1.659
apical_skinned,1.132
apical_skinned,1.738
apical_skinned,1.053
apical_skinned,1.535
apical_skinned,1.898
apical_skinned,1.168
apical_skinned,1.023
apical_skinned,1.168
apical_skinned,1.507
apical_skinned,1.252
apical_skinned,1.32
apical_skinned,1.649
apical_skinned,1.779
apical_skinned,1.065
apical_skinned,1.132
apical_skinned,0.727
apical_skinned,1.065
apical_skinned,0.789
apical_skinned,1.306
apical_skinned,1.528
apical_skinned,0.947
apical_skinned,1.053
apical_skinned,0.806
apical_skinned,0.874
apical_skinned,2.075
apical_skinned,1.38
apical_skinned,1.313
apical_skinned,1.684
apical_skinned,1.329
apical_skinned,1.153
apical_skinned,1.086
apical_skinned,1.15
apical_skinned,0.989
apical_skinned,1.043
apical_skinned,1.252
apical_skinned,1.31
apical_skinned,3.446
apical_skinned,1.738
apical_skinned,0.727
apical_skinned,0.662
apical_skinned,0.801
apical_skinned,0.927
apical_skinned,1.168
apical_skinned,1.414
apical_skinned,2.378
apical_skinned,2.63
apical_skinned,1.682
apical_skinned,0.989
apical_skinned,0.755
apical_skinned,0.653
apical_skinned,1.931
apical_skinned,1.289
apical_skinned,1.382
apical_skinned,0.976
apical_skinned,0.922
apical_skinned,3.71
apical_skinned,3.423
apical_skinned,3.799
apical_skinned,3.751
apical_skinned,1.974
apical_skinned,2.558
apical_skinned,1.522
apical_skinned,0.97
apical_skinned,1.542
apical_skinned,1
apical_skinned,0.927
apical_skinned,0.936
apical_skinned,0.849
apical_skinned,0.776
apical_skinned,0.653
apical_skinned,1.551
apical_skinned,0.902
apical_skinned,0.776
apical_skinned,1.5
apical_skinned,1.313
apical_skinned,0.977
apical_skinned,0.707
apical_skinned,0.566
apical_skinned,0.977
apical_skinned,1.79
apical_skinned,4.843
apical_skinned,2.039
apical_skinned,3.632
apical_skinned,3.727
apical_skinned,2.364
apical_skinned,1.624
apical_skinned,3.482
apical_skinned,2.984
apical_skinned,1.862
apical_skinned,1.797
apical_skinned,2.74
apical_skinned,2.747
apical_skinned,2.467
apical_skinned,1.137
apical_skinned,3.278
apical_skinned,1.568
apical_skinned,2.67
apical_skinned,2.493
apical_skinned,1.888
apical_skinned,1.73
apical_skinned,3.082
apical_skinned,1.952
apical_skinned,1.689
apical_skinned,2.211
apical_skinned,2.235
apical_skinned,2.522
apical_skinned,1.939
apical_skinned,2.176
apical_skinned,3.268
apical_skinned,2.18
apical_skinned,2.386
apical_skinned,2.222
apical_skinned,1.542
apical_skinned,1.253
apical_skinned,3.014
apical_skinned,1.842
apical_skinned,2.416
apical_skinned,2.852
apical_skinned,2.195
apical_skinned,2.559
apical_skinned,2.297
apical_skinned,2.898
apical_skinned,1.933
apical_skinned,3.539
apical_skinned,1.388
apical_skinned,1.199
apical_skinned,2.418
apical_skinned,2.825
apical_skinned,2.942
apical_skinned,2.503
apical_skinned,1.294
apical_skinned,1.81
apical_skinned,1.849
apical_skinned,1.54
apical_skinned,1.929
apical_skinned,1.534
apical_skinned,2.469
apical_skinned,1.437
apical_skinned,1.537
apical_skinned,1.081
apical_skinned,2.428
apical_skinned,1.274
apical_skinned,1.994
apical_skinned,1.339
apical_skinned,2.338
