embryo,angle
DMSO_1,163.179
DMSO_1,36.87
DMSO_1,74.476
DMSO_1,114.444
DMSO_1,123.69
DMSO_1,109.983
DMSO_1,211.675
DMSO_1,192.907
DMSO_1,225
DMSO_1,199.855
DMSO_1,144.462
DMSO_1,243.435
DMSO_1,235.305
DMSO_1,230.194
DMSO_1,203.199
DMSO_1,182.203
DMSO_1,138.814
DMSO_1,130.914
DMSO_1,207.979
DMSO_1,180
DMSO_1,207.597
DMSO_1,209.358
DMSO_1,155.056
DMSO_1,120.256
DMSO_1,66.038
DMSO_1,120.964
DMSO_1,96.582
DMSO_1,114.944
DMSO_1,84.289
DMSO_1,173.29
DMSO_1,183.417
DMSO_1,160.201
DMSO_1,226.169
DMSO_1,114.274
DMSO_1,70.145
DMSO_1,129.987
DMSO_1,135
DMSO_1,101.004
DMSO_1,347.005
DMSO_1,308.66
DMSO_1,281.31
DMSO_1,87.138
DMSO_1,60.945
DMSO_1,231.633
DMSO_1,294.624
DMSO_1,275.711
DMSO_1,241.189
DMSO_1,137.726
DMSO_1,195.593
DMSO_1,92.291
DMSO_1,17.103
DMSO_1,57.031
DMSO_1,68.552
DMSO_1,166.866
DMSO_1,132.274
DMSO_1,42.337
DMSO_1,241.39
DMSO_1,123.69
DMSO_1,205.498
DMSO_1,69.114
DMSO_1,31.159
DMSO_1,130.426
DMSO_1,90
DMSO_1,146.611
DMSO_1,157.068
DMSO_1,161.862
DMSO_1,190.954
DMSO_1,62.7
DMSO_1,83.047
DMSO_1,102.529
DMSO_1,111.801
DMSO_1,175.914
DMSO_1,261.254
DMSO_1,211.43
DMSO_1,154.44
DMSO_1,279.66
DMSO_1,53.13
DMSO_2,146.674
DMSO_2,156.318
DMSO_2,133.531
DMSO_2,150.255
DMSO_2,80.981
DMSO_2,12.907
DMSO_2,217.694
DMSO_2,191.592
DMSO_2,268.807
DMSO_2,236.31
DMSO_2,196.858
DMSO_2,180
DMSO_2,172.648
DMSO_2,183.366
DMSO_2,172.304
DMSO_2,96.633
DMSO_2,108.435
DMSO_2,127.073
DMSO_2,139.764
DMSO_2,135
DMSO_2,130.601
DMSO_2,246.801
DMSO_2,242.103
DMSO_2,235.886
DMSO_2,157.694
DMSO_2,83.991
DMSO_2,238.891
DMSO_2,313.727
DMSO_2,303.69
DMSO_2,195.709
DMSO_2,198.435
DMSO_2,264.289
DMSO_2,254.055
DMSO_2,233.973
DMSO_2,206.565
DMSO_2,323.13
DMSO_2,272.663
DMSO_2,208.926
DMSO_2,221.009
DMSO_2,183.691
DMSO_2,4.185
DMSO_2,3.27
DMSO_2,129.289
DMSO_2,102.265
DMSO_2,53.13
DMSO_2,106.26
DMSO_2,66.038
DMSO_2,77.471
DMSO_2,63.435
DMSO_2,141.009
DMSO_2,311.634
DMSO_2,277.696
DMSO_2,242.7
DMSO_2,215.838
DMSO_2,232.125
DMSO_2,193.241
DMSO_2,152.021
DMSO_2,98.13
DMSO_2,120.964
DMSO_2,209.291
DMSO_2,206.565
DMSO_2,212.471
DMSO_2,224.293
DMSO_2,205.769
DMSO_2,231.34
DMSO_2,147.265
DMSO_2,169.38
DMSO_2,125.311
DMSO_2,136.548
DMSO_2,188.746
DMSO_2,256.759
DMSO_2,301.608
DMSO_2,117.897
DMSO_2,81.027
DMSO_2,108.435
DMSO_2,315
DMSO_2,300.256
DMSO_2,248.199
DMSO_2,225
DMSO_2,150.018
DMSO_2,216.027
DMSO_2,198.435
DMSO_2,218.157
DMSO_2,205.463
DMSO_2,260.538
DMSO_2,218.66
DMSO_2,214.592
DMSO_2,96.203
DMSO_2,71.565
DMSO_2,243.435
DMSO_2,229.764
DMSO_2,146.31
DMSO_2,198.083
DMSO_2,273.576
DMSO_2,275.711
DMSO_2,223.152
DMSO_2,227.49
DMSO_2,250.346
DMSO_2,218.66
DMSO_2,233.616
DMSO_2,201.801
DMSO_2,205.408
DMSO_2,184.764
DMSO_2,180
DMSO_2,183.691
DMSO_2,180
DMSO_2,165.964
DMSO_2,169.695
DMSO_2,110.556
DMSO_2,77.735
DMSO_2,174.094
DMSO_2,191.31
DMSO_2,215.838
DMSO_2,210.379
DMSO_2,213.311
DMSO_2,231.34
DMSO_2,273.366
DMSO_2,221.987
DMSO_2,223.531
DMSO_2,219.289
DMSO_2,265.236
DMSO_2,258.69
DMSO_2,264.806
DMSO_3,180
DMSO_3,171.06
DMSO_3,184.764
DMSO_3,161.565
DMSO_3,121.477
DMSO_3,253.142
DMSO_3,249.905
DMSO_3,102.875
DMSO_3,291.371
