embryo,angle
SU5402_1,56.547
SU5402_1,89.293
SU5402_1,11.31
SU5402_1,160.017
SU5402_1,212.856
SU5402_1,213.111
SU5402_1,47.291
SU5402_1,3.18
SU5402_1,60.255
SU5402_1,119.249
SU5402_1,135
SU5402_1,172.875
SU5402_1,175.764
SU5402_1,181.146
SU5402_1,100.008
SU5402_1,90
SU5402_1,323.13
SU5402_1,306.158
SU5402_1,306.674
SU5402_1,217.569
SU5402_1,203.962
SU5402_1,189.09
SU5402_1,185.711
SU5402_1,65.821
SU5402_1,33.024
SU5402_1,102.995
SU5402_1,63.435
SU5402_1,64.799
SU5402_1,152.241
SU5402_1,172.875
SU5402_1,175.426
SU5402_1,105.781
SU5402_1,48.576
SU5402_1,68.749
SU5402_1,79.875
SU5402_1,336.371
SU5402_1,323.616
SU5402_1,69.102
SU5402_1,78.111
SU5402_1,265.236
SU5402_1,302.969
SU5402_1,105.945
SU5402_1,39.472
SU5402_1,258.232
SU5402_1,79.695
SU5402_1,35.311
SU5402_1,184.236
SU5402_1,180
SU5402_1,227.121
SU5402_1,155.095
SU5402_1,201.318
SU5402_1,186.71
SU5402_1,97.125
SU5402_1,131.634
SU5402_1,180
SU5402_1,215.538
SU5402_1,164.249
SU5402_1,116.565
SU5402_1,71.175
SU5402_1,341.565
SU5402_1,322.125
SU5402_1,307.569
SU5402_1,270
SU5402_1,7.125
SU5402_1,229.399
SU5402_1,180
SU5402_1,194.036
SU5402_1,204.444
SU5402_1,87.138
SU5402_1,54.462
SU5402_1,42.879
SU5402_1,57.45
SU5402_1,83.66
SU5402_1,57.529
SU5402_1,39.472
SU5402_1,48.814
SU5402_1,327.529
SU5402_1,10.305
SU5402_1,65.695
SU5402_1,110.854
SU5402_1,99.462
SU5402_1,71.565
SU5402_1,54.246
SU5402_1,82.875
SU5402_1,102.995
SU5402_1,144.462
SU5402_1,77.471
SU5402_1,17.819
SU5402_1,35.789
SU5402_1,49.899
SU5402_1,135
SU5402_1,26.222
SU5402_1,55.62
SU5402_1,51.34
SU5402_1,212.005
SU5402_1,180
SU5402_1,180
SU5402_1,276.34
SU5402_1,185.906
SU5402_1,222.274
SU5402_1,351.469
SU5402_1,180
SU5402_1,30.256
SU5402_1,85.426
SU5402_1,29.539
SU5402_1,275.711
SU5402_1,125.417
SU5402_1,63.435
SU5402_1,80.838
SU5402_1,40.236
SU5402_1,28.496
SU5402_1,133.452
SU5402_1,167.196
SU5402_1,169.33
SU5402_1,159.829
SU5402_1,32.276
SU5402_1,360
SU5402_1,286.504
SU5402_1,35.838
SU5402_1,135
SU5402_1,125.538
SU5402_1,116.565
SU5402_1,45
SU5402_1,321.34
SU5402_1,336.615
SU5402_1,48.814
SU5402_1,27.408
SU5402_1,319.399
SU5402_1,294.864
SU5402_1,258.959
SU5402_1,261.87
SU5402_1,342.408
SU5402_1,260.838
SU5402_1,245.556
SU5402_1,245.225
SU5402_1,266.009
SU5402_1,218.991
SU5402_1,208.301
SU5402_1,183.576
SU5402_1,294.444
SU5402_1,344.055
SU5402_1,345.964
SU5402_1,147.339
SU5402_1,135.764
SU5402_1,180
SU5402_1,261.469
SU5402_1,266.82
SU5402_1,118.301
SU5402_1,169.114
SU5402_1,157.62
SU5402_1,131.634
SU5402_1,126.027
SU5402_1,185.711
SU5402_1,102.529
SU5402_1,225
SU5402_1,243.435
SU5402_1,328.878
SU5402_1,100.491
SU5402_1,242.103
SU5402_1,99.866
SU5402_1,69.146
SU5402_1,33.69
SU5402_1,299.476
SU5402_1,104.036
SU5402_1,90
SU5402_1,270
SU5402_1,327.995
SU5402_2,124.237
SU5402_2,143.246
SU5402_2,77.074
SU5402_2,30.192
SU5402_2,146.753
SU5402_2,144.13
SU5402_2,353.66
SU5402_2,206.565
SU5402_2,180
SU5402_2,150.751
SU5402_2,19.511
SU5402_2,37.405
SU5402_2,73.202
SU5402_2,18.435
SU5402_2,87.397
SU5402_2,196.607
SU5402_2,193.241
SU5402_2,292.964
SU5402_2,296.565
SU5402_2,246.801
SU5402_2,41.634
SU5402_2,69.717
SU5402_2,142.001
SU5402_2,248.552
SU5402_2,184.764
SU5402_2,239.534
SU5402_2,201.801
SU5402_2,130.914
SU5402_2,72.255
SU5402_2,62.241
SU5402_2,47.291
SU5402_2,27.759
SU5402_2,76.293
SU5402_2,66.801
SU5402_2,105.642
SU5402_2,218.367
SU5402_2,172.875
SU5402_2,114.102
SU5402_2,152.447
SU5402_2,54.689
SU5402_2,155.556
SU5402_2,138.122
SU5402_2,119.539
SU5402_2,86.186
SU5402_2,13.627
SU5402_2,109.537
SU5402_2,173.66
SU5402_2,180
SU5402_2,349.992
SU5402_2,140.711
SU5402_2,32.276
SU5402_2,47.816
SU5402_2,83.29
SU5402_2,84.289
SU5402_2,77.661
SU5402_2,294.624
SU5402_2,268.531
SU5402_2,216.87
SU5402_2,138.814
SU5402_3,9.866
SU5402_3,222.337
SU5402_3,274.332
SU5402_3,208.496
SU5402_3,188.049
SU5402_3,43.452
SU5402_3,315
SU5402_3,86.186
SU5402_3,317.726
SU5402_3,267.614
SU5402_3,295.463
SU5402_3,270
SU5402_3,283.325
SU5402_3,265.764
SU5402_3,251.565
SU5402_3,54.293
SU5402_3,91.193
SU5402_3,232.306
SU5402_3,249.444
SU5402_3,173.089
SU5402_3,201.251
SU5402_3,46.637
SU5402_3,45
SU5402_3,212.471
SU5402_3,102.095
SU5402_3,82.278
SU5402_3,140.477
SU5402_3,263.157
SU5402_3,295.346
SU5402_3,338.875
SU5402_3,329.237
SU5402_3,38.66
SU5402_3,63.435
SU5402_3,165.964
SU5402_3,256.264
SU5402_3,238.392
SU5402_3,280.62
SU5402_3,241.821
SU5402_3,248.459
SU5402_3,28.443
SU5402_3,13.627
SU5402_3,177.797
SU5402_3,220.732
SU5402_3,210.801
SU5402_3,111.038
SU5402_3,216.87
SU5402_3,30.677
SU5402_3,77.471
SU5402_3,36.027
SU5402_3,99.66
SU5402_3,118.706
SU5402_3,274.399
SU5402_3,20.556
SU5402_3,216.87
SU5402_3,183.576
SU5402_3,169.919
SU5402_3,199.983
SU5402_3,237.995
SU5402_3,256.866
SU5402_3,320.389
SU5402_3,24.444
SU5402_3,344.745
SU5402_3,70.71
SU5402_3,53.616
SU5402_3,57.724
SU5402_3,153.435
SU5402_3,124.509
SU5402_3,86.82
SU5402_3,106.189
SU5402_3,92.045
SU5402_3,356.424
SU5402_3,352.235
SU5402_3,319.399
SU5402_3,63.435
SU5402_3,23.962
SU5402_3,357.879
SU5402_3,335.925
SU5402_3,354.668
SU5402_3,352.875
SU5402_3,46.273
SU5402_3,79.046
SU5402_3,176.82
SU5402_3,347.32
SU5402_3,197.526
SU5402_3,3.691
SU5402_3,9.462
SU5402_3,360
SU5402_3,305.311
SU5402_3,237.265
SU5402_3,82.875
SU5402_3,127.304
SU5402_4,34.695
SU5402_4,40.601
SU5402_4,353.558
SU5402_4,10.204
SU5402_4,217.747
SU5402_4,263.089
SU5402_4,291.251
SU5402_4,357.955
SU5402_4,360
SU5402_4,334.983
SU5402_4,57.319
SU5402_4,96.754
SU5402_4,136.219
SU5402_4,270
SU5402_4,239.421
SU5402_4,223.958
SU5402_4,277.125
SU5402_4,177.207
SU5402_4,180
SU5402_4,261.254
SU5402_4,183.691
SU5402_4,194.036
SU5402_4,235.176
SU5402_4,58.815
SU5402_4,55.305
SU5402_4,43.995
SU5402_4,29.358
SU5402_4,360
SU5402_4,360
SU5402_4,215.538
SU5402_4,175.03
SU5402_4,152.447
SU5402_4,215.87
SU5402_4,179.182
SU5402_4,164.407
SU5402_4,136.79
SU5402_4,182.793
SU5402_4,189.246
SU5402_4,286.091
SU5402_4,349.287
SU5402_4,90
SU5402_4,270
SU5402_4,261.347
SU5402_4,250.463
SU5402_4,331.991
SU5402_4,277.722
SU5402_4,271.123
SU5402_4,263.29
SU5402_4,250.56
SU5402_4,262.875
SU5402_4,42.274
SU5402_4,326.31
SU5402_4,348.111
SU5402_4,329.744
SU5402_4,344.745
SU5402_4,25.017
SU5402_4,177.274
SU5402_4,163.142
SU5402_4,126.431
SU5402_4,131.186
SU5402_4,129.13
SU5402_4,338.416
SU5402_4,353.157
SU5402_4,350.538
SU5402_4,28.61
SU5402_4,42.709
SU5402_4,360
SU5402_4,11.634
SU5402_4,291.501
SU5402_4,122.574
SU5402_4,193.496
SU5402_4,184.236
SU5402_4,214.695
SU5402_4,195.255
SU5402_4,162.897
SU5402_4,228.814
SU5402_4,291.251
SU5402_4,4.686
SU5402_4,289.093
SU5402_4,330.524
SU5402_4,341.147
SU5402_4,20.854
SU5402_4,10.739
SU5402_4,17.447
SU5402_4,8.531
SU5402_4,345.964
SU5402_4,29.358
SU5402_4,83.211
SU5402_4,255.174
SU5402_4,357.337
SU5402_4,295.56
SU5402_4,231.633
SU5402_4,214.046
SU5402_5,60.709
SU5402_5,65.344
SU5402_5,285.945
SU5402_5,289.44
SU5402_5,308.29
SU5402_5,291.125
SU5402_5,178.603
SU5402_5,220.03
SU5402_5,150.803
SU5402_5,165.801
SU5402_5,243.997
SU5402_5,231.546
SU5402_5,225
SU5402_5,233.13
SU5402_5,197.354
SU5402_5,225
SU5402_5,207.3
SU5402_5,211.329
SU5402_5,270
SU5402_5,265.764
SU5402_5,304.695
SU5402_5,57.381
SU5402_5,122.005
SU5402_5,120.964
SU5402_5,85.601
SU5402_5,90
SU5402_5,68.629
SU5402_5,92.603
