condition,Angle
basal_healed,73.072
basal_healed,27.759
basal_healed,304.992
basal_healed,56.31
basal_healed,105.945
basal_healed,102.995
basal_healed,94.764
basal_healed,139.236
basal_healed,124.38
basal_healed,136.548
basal_healed,77.471
basal_healed,78.311
basal_healed,110.556
basal_healed,156.038
basal_healed,104.036
basal_healed,168.69
basal_healed,190.305
basal_healed,225
basal_healed,86.055
basal_healed,169.695
basal_healed,296.565
basal_healed,279.926
basal_healed,195.642
basal_healed,132.709
basal_healed,255.964
basal_healed,249.444
basal_healed,62.354
basal_healed,149.931
basal_healed,94.927
basal_healed,207.759
basal_healed,198.435
basal_healed,78.024
basal_healed,211.827
basal_healed,198.435
basal_healed,141.71
basal_healed,216.87
basal_healed,195.376
basal_healed,107.021
basal_healed,136.848
basal_healed,140.528
basal_healed,128.29
basal_healed,213.111
basal_healed,215.538
basal_healed,122.005
basal_healed,126.027
basal_healed,273.366
basal_healed,249.228
basal_healed,282.381
basal_healed,256.608
basal_healed,243.435
basal_healed,276.71
basal_healed,294.228
basal_healed,360
basal_healed,5.194
basal_healed,34.992
basal_healed,110.854
basal_healed,106.39
basal_healed,52.125
basal_healed,55.008
basal_healed,131.186
basal_healed,346.866
basal_healed,305.134
basal_healed,304.509
basal_healed,251.565
basal_healed,254.055
basal_healed,251.565
basal_healed,203.199
basal_healed,207.759
basal_healed,205.346
basal_healed,202.751
basal_healed,94.97
basal_healed,97.431
basal_healed,148.241
basal_healed,139.399
basal_healed,62.745
basal_healed,186.71
basal_healed,19.093
basal_healed,51.116
basal_healed,156.644
basal_healed,178.025
basal_healed,46.273
basal_healed,137.49
basal_healed,185.194
basal_healed,175.601
basal_healed,81.027
basal_healed,210.816
basal_healed,217.504
basal_healed,170.91
basal_healed,196.26
basal_healed,209.148
basal_healed,221.348
basal_healed,251.917
basal_healed,176.186
basal_healed,165.964
basal_healed,186.483
basal_healed,215.538
basal_healed,194.036
basal_healed,117.759
basal_healed,146.31
basal_healed,145.713
basal_healed,293.629
basal_healed,281.768
basal_healed,291.801
basal_healed,90
basal_healed,161.565
basal_healed,160.017
basal_healed,152.784
basal_healed,172.405
basal_healed,135
basal_healed,151.699
basal_healed,115.56
basal_healed,210.579
basal_healed,241.631
basal_healed,247.891
basal_healed,100.954
basal_healed,99.782
basal_healed,92.121
basal_healed,108.435
basal_healed,138.814
basal_healed,165.964
basal_healed,125.538
basal_healed,235.098
basal_healed,298.142
basal_healed,142.431
basal_healed,161.565
basal_healed,178.363
basal_healed,302.471
basal_healed,2.437
basal_healed,10.305
basal_healed,193.134
basal_healed,176.532
basal_healed,155.376
basal_healed,90
basal_healed,270
basal_healed,204.444
basal_healed,113.749
basal_healed,149.534
basal_healed,261.254
basal_healed,242.7
basal_healed,207.35
basal_healed,191.31
basal_healed,203.199
basal_healed,234.162
basal_healed,209.932
basal_healed,90
basal_healed,272.386
basal_healed,264.56
basal_healed,278.13
basal_healed,260.272
basal_healed,270
basal_healed,208.61
basal_healed,255.964
basal_healed,278.531
basal_healed,315
basal_healed,111.801
basal_healed,158.962
basal_healed,270
basal_healed,128.853
basal_healed,26.565
basal_healed,236.31
basal_healed,293.962
basal_healed,202.62
basal_healed,173.29
basal_healed,145.62
basal_healed,166.43
basal_healed,125.538
basal_healed,296.565
basal_healed,355.236
basal_healed,337.751
basal_healed,207.15
basal_healed,207.824
basal_healed,172.235
basal_healed,157.135
basal_healed,166.759
basal_healed,132.337
basal_healed,201.371
basal_healed,192.529
basal_healed,56.31
basal_healed,90
basal_healed,86.82
basal_healed,140.826
basal_healed,319.764
basal_healed,357.397
basal_healed,307.405
basal_healed,289.44
basal_healed,270
basal_healed,257.005
basal_healed,232.125
basal_healed,109.654
basal_healed,45.971
basal_healed,102.995
basal_healed,315
basal_healed,202.714
basal_healed,155.225
basal_healed,67.891
basal_healed,168.69
basal_healed,149.036
basal_healed,146.31
basal_healed,203.962
basal_healed,252.181
basal_healed,90
basal_healed,104.826
basal_healed,268.493
basal_healed,129.207
basal_healed,147.381
basal_healed,158.962
basal_healed,181.736
basal_healed,173.884
basal_healed,147.265
basal_healed,138.991
basal_healed,116.565
basal_healed,172.147
basal_healed,199.44
basal_healed,205.942
basal_healed,198.435
basal_healed,216.027
basal_healed,212.005
basal_healed,195.524
basal_healed,228.814
basal_healed,118.61
basal_healed,96.34
basal_healed,113.962
basal_healed,78.69
basal_healed,135
basal_healed,135
basal_healed,131.634
basal_healed,106.314
basal_healed,87.614
basal_healed,136.273
basal_healed,156.801
basal_healed,186.203
basal_healed,197.65
basal_healed,261.254
basal_healed,260.538
basal_healed,248.199
basal_healed,291.371
basal_healed,313.668
basal_healed,248.199
basal_healed,196.091
basal_healed,201.501
basal_healed,110.556
basal_healed,92.862
basal_healed,124.16
basal_healed,98.881
basal_healed,72.719
basal_healed,127.694
basal_healed,271.848
basal_healed,265.236
basal_healed,146.31
basal_healed,163.54
basal_healed,154.722
basal_healed,161.147
basal_healed,154.654
basal_healed,152.021
basal_healed,126.87
basal_healed,254.745
basal_healed,250.56
basal_healed,125.134
basal_healed,132.397
basal_healed,117.474
basal_healed,117.181
basal_healed,113.199
basal_healed,151.783
basal_healed,151.783
basal_healed,219.56
basal_healed,270
basal_healed,155.433
basal_healed,180
basal_healed,271.975
basal_healed,195.945
basal_healed,208.124
basal_healed,163.413
basal_healed,150.866
basal_healed,180
basal_healed,82.569
basal_healed,162.255
basal_healed,194.621
basal_healed,165.964
basal_healed,130.525
basal_healed,88.493
basal_healed,126.304
basal_healed,123.179
basal_healed,308.418
basal_healed,101.976
basal_healed,137.49
basal_healed,201.801
basal_healed,226.848
basal_healed,86.424
basal_healed,309.987
basal_healed,325.491
basal_healed,198.435
basal_healed,201.038
basal_healed,140.194
basal_healed,81.87
basal_healed,138.366
basal_healed,200.136
basal_healed,159.444
basal_healed,117.759
basal_healed,59.534
basal_healed,82.304
basal_healed,107.241
basal_healed,101.31
basal_healed,227.862
basal_healed,106.887
basal_healed,132.51
basal_healed,150.461
basal_healed,63.435
basal_healed,30.53
basal_healed,22.521
basal_healed,124.695
basal_healed,156.161
basal_healed,126.027
basal_healed,86.424
basal_healed,121.43
basal_healed,124.16
basal_healed,122.196
basal_healed,146.004
basal_healed,200.186
basal_healed,185.492
basal_healed,94.574
basal_healed,275.856
basal_healed,256.908
basal_healed,151.113
basal_healed,24.775
basal_healed,18.435
basal_healed,199.654
basal_healed,191.31
basal_healed,194.216
basal_healed,236.31
basal_healed,275.711
basal_healed,272.161
basal_healed,296.565
basal_healed,199.983
basal_healed,330.018
basal_healed,166.293
basal_healed,193.241
basal_healed,194.036
basal_healed,58.736
basal_healed,206.565
basal_healed,241.113
basal_healed,261.87
basal_healed,201.801
basal_healed,181.042
basal_healed,180
basal_healed,323.807
basal_healed,216.87
basal_healed,228.18
basal_healed,267.397
basal_healed,21.541
basal_healed,59.534
basal_healed,96.582
basal_healed,177.955
basal_healed,164.291
basal_healed,81.027
basal_healed,168.465
basal_healed,232.001
basal_healed,240.945
basal_healed,100.491
basal_healed,171.87
basal_healed,175.365
basal_healed,117.759
basal_healed,108.435
basal_healed,143.746
basal_healed,203.749
basal_healed,249.624
basal_healed,110.807
basal_healed,102.529
basal_healed,96.633
basal_healed,141.843
basal_healed,124.778
basal_healed,105.422
basal_healed,55.784
basal_healed,112.932
basal_healed,154.916
basal_healed,170.272
basal_healed,152.745
basal_healed,122.905
basal_healed,173.346
basal_healed,182.726
basal_healed,81.806
basal_healed,94.899
basal_healed,76.827
basal_healed,174.806
basal_healed,181.193
basal_healed,72.255
basal_healed,127.875
basal_healed,83.157
basal_healed,66.251
basal_healed,329.184
basal_healed,313.452
basal_healed,304.824
basal_healed,298.142
basal_healed,350.181
basal_healed,268.807
basal_healed,273.468
basal_healed,170.727
basal_healed,191.441
basal_healed,173.571
basal_healed,128.454
basal_healed,174.053
basal_healed,130.462
basal_healed,117.646
basal_healed,102.529
basal_healed,116.565
basal_healed,108.435
basal_healed,164.745
basal_healed,102.095
basal_healed,173.991
basal_healed,243.435
basal_healed,271.332
basal_healed,50.906
basal_healed,66.038
basal_healed,36.674
basal_healed,63.435
basal_healed,111.801
basal_healed,87.064
basal_healed,82.147
basal_healed,307.694
basal_healed,304.875
basal_healed,272.045
basal_healed,272.203
basal_healed,270
basal_healed,293.962
basal_healed,158.499
basal_healed,141.34
basal_healed,197.879
basal_healed,215.754
basal_healed,145.008
basal_healed,149.036
basal_healed,61.049
basal_healed,56.889
basal_healed,151.607
basal_healed,161.114
basal_healed,156.297
basal_healed,144.605
basal_healed,148.449
basal_healed,172.185
basal_healed,135.971
basal_healed,204.102
basal_healed,228.013
basal_healed,210.101
basal_healed,157.249
basal_healed,196.26
basal_healed,233.13
basal_healed,268.568
basal_healed,247.751
basal_healed,116.565
basal_healed,118.443
basal_healed,160.017
basal_healed,191.944
basal_healed,133.363
basal_healed,115.346
basal_healed,145.008
basal_healed,202.521
basal_healed,239.931
basal_healed,138.576
basal_healed,151.557
basal_healed,99.866
basal_healed,214.287
basal_healed,122.276
basal_healed,279.462
basal_healed,247.166
basal_healed,120.651
basal_healed,260.074
basal_healed,52.125
basal_healed,55.864
basal_healed,161.783
basal_healed,197.241
basal_healed,210.784
basal_healed,154.398
basal_healed,214.346
basal_healed,193.736
basal_healed,181.123
basal_healed,204.624
basal_healed,133.603
basal_healed,120.964
basal_healed,320.711
basal_healed,322.253
basal_healed,309.806
basal_healed,178.452
basal_healed,154.654
basal_healed,235.981
basal_healed,177.274
basal_healed,210.53
basal_healed,153.435
basal_healed,232.253
basal_healed,227.911
basal_healed,205.56
basal_healed,225
basal_healed,222.274
basal_healed,123.69
basal_healed,205.017
basal_healed,237.529
basal_healed,240.945
basal_healed,270
basal_healed,57.529
basal_healed,210.256
basal_healed,210.256
basal_healed,227.49
basal_healed,164.358
basal_healed,155.225
basal_healed,160.71
basal_healed,90
basal_healed,97.595
basal_healed,291.801
basal_healed,276.34
basal_healed,22.166
basal_healed,348.69
basal_healed,236.31
basal_healed,281.31
basal_healed,360
basal_healed,18.435
basal_healed,87.51
basal_healed,74.745
basal_healed,93.468
basal_healed,97.595
basal_healed,141.34
basal_healed,278.746
basal_healed,177.138
basal_healed,188.13
basal_healed,201.801
basal_healed,205.017
basal_healed,212.005
basal_healed,251.2
basal_healed,248.749
basal_healed,190.008
basal_healed,204.075
basal_healed,137.07
basal_healed,121.159
basal_healed,138.18
basal_healed,159.444
basal_healed,117.759
basal_healed,306.158
basal_healed,258.69
basal_healed,303.275
basal_healed,82.875
basal_healed,360
basal_healed,180
basal_healed,38.333
basal_healed,24.974
basal_healed,8.881
basal_healed,106.39
basal_healed,115.408
basal_healed,203.962
basal_healed,178.854
basal_healed,199.026
basal_healed,128.367
basal_healed,265.236
basal_healed,202.834
basal_healed,336.801
basal_healed,246.501
basal_healed,152.745
basal_healed,154.44
basal_healed,253.072
basal_healed,254.476
basal_healed,164.055
basal_healed,220.601
basal_healed,229.399
basal_healed,219.289
basal_healed,200.225
basal_healed,252.35
basal_healed,230.528
basal_healed,308.234
basal_healed,271.507
basal_healed,249.444
basal_healed,75.53
basal_healed,86.186
basal_healed,98.531
basal_healed,137.386
basal_healed,141.34
basal_healed,155.225
basal_healed,150.945
basal_healed,152.7
basal_healed,152.784
basal_healed,203.749
basal_healed,200.556
basal_healed,180
basal_healed,147.848
basal_healed,144.689
basal_healed,195.68
basal_healed,135
basal_healed,22.479
basal_healed,7.595
basal_healed,180
basal_healed,217.405
basal_healed,133.363
basal_healed,137.816
basal_healed,139.899
basal_healed,78.024
basal_healed,13.496
basal_healed,128.157
basal_healed,176.634
basal_healed,156.975
basal_healed,139.399
basal_healed,150.018
basal_healed,136.123
basal_healed,154.134
basal_healed,157.834
basal_healed,172.278
basal_healed,178.152
basal_healed,251.075
basal_healed,277.765
basal_healed,86.424
basal_healed,90
basal_healed,184.764
basal_healed,195.124
basal_healed,127.405
basal_healed,122.005
basal_healed,145.713
basal_healed,88.264
basal_healed,119.055
basal_healed,299.358
basal_healed,210.379
basal_healed,180
basal_healed,66.571
basal_healed,30.411
basal_healed,223.452
basal_healed,150.945
basal_healed,196.699
basal_healed,190.305
basal_healed,193.57
basal_healed,207.35
basal_healed,206.565
basal_healed,183.013
basal_healed,183.013
basal_healed,169.695
basal_healed,155.726
basal_healed,153.435
basal_healed,142.001
basal_healed,119.197
basal_healed,211.329
basal_healed,223.831
basal_healed,246.975
basal_healed,244.537
basal_healed,121.218
basal_healed,172.875
basal_healed,112.306
basal_healed,140.194
basal_healed,129.523
basal_healed,151.783
basal_healed,317.203
basal_healed,313.919
basal_healed,264.958
basal_healed,263.66
basal_healed,267.274
basal_healed,244.983
basal_healed,180
basal_healed,221.82
basal_healed,65.821
basal_healed,75.964
basal_healed,90
basal_healed,332.987
basal_healed,304.695
basal_healed,286.074
basal_healed,101.634
basal_healed,171.119
basal_healed,126.87
basal_healed,225
basal_healed,204.102
basal_healed,226.975
basal_healed,332.241
basal_healed,154.179
basal_healed,70.769
basal_healed,58.465
basal_healed,180
basal_healed,315
basal_healed,105.945
basal_healed,136.469
basal_healed,63.435
basal_healed,203.385
basal_healed,165.53
basal_healed,236.689
basal_healed,278.13
basal_healed,165.964
basal_healed,166.759
basal_healed,97.125
basal_healed,141.633
basal_healed,135
basal_healed,102.339
basal_healed,153.435
basal_healed,157.834
basal_healed,162.897
basal_healed,147.724
basal_healed,25.346
basal_healed,277.907
basal_healed,14.621
basal_healed,6.009
basal_healed,107.745
basal_healed,112.521
basal_healed,94.764
basal_healed,212.735
basal_healed,174.644
basal_healed,130.426
basal_healed,146.31
basal_healed,140.528
basal_healed,143.427
basal_healed,142.696
basal_healed,207.979
basal_healed,180
basal_healed,261.158
basal_healed,274.97
basal_healed,270
basal_healed,228.652
basal_healed,192.804
basal_healed,171.254
basal_healed,169.114
basal_healed,167.276
basal_healed,143.973
basal_healed,147.995
basal_healed,149.036
basal_healed,163.072
basal_healed,160.821
basal_healed,308.66
basal_healed,128.48
basal_healed,219.611
basal_healed,229.399
basal_healed,280.305
basal_healed,211.43
basal_healed,228.468
basal_healed,201.975
basal_healed,123.69
basal_healed,274.086
basal_healed,293.199
basal_healed,270
basal_healed,190.685
basal_healed,115.821
basal_healed,38.108
basal_healed,203.199
basal_healed,66.251
basal_healed,116.565
basal_healed,180
basal_healed,197.241
basal_healed,2.726
basal_healed,351.573
basal_healed,9.782
basal_healed,8.13
basal_healed,276.116
basal_healed,244.29
basal_healed,254.055
basal_healed,180
basal_healed,254.055
basal_healed,244.231
basal_healed,258.93
basal_healed,285.803
basal_healed,197.241
basal_healed,129.369
basal_healed,93.814
basal_healed,104.036
basal_healed,116.565
basal_healed,165.964
basal_healed,43.152
basal_healed,21.038
basal_healed,167.905
basal_healed,182.603
basal_healed,158.629
basal_healed,152.447
basal_healed,278.531
basal_healed,223.264
basal_healed,170.538
basal_healed,175.03
basal_healed,247.891
