condition,Length
basal_after_healing,4.51
basal_after_healing,4.939
basal_after_healing,2.966
basal_after_healing,2.886
basal_after_healing,3.94
basal_after_healing,2.512
basal_after_healing,2.766
basal_after_healing,2.863
basal_after_healing,1.572
basal_after_healing,0.948
basal_after_healing,1.541
basal_after_healing,2.126
basal_after_healing,1.27
basal_after_healing,2.007
basal_after_healing,2.28
basal_after_healing,2.617
basal_after_healing,3.42
basal_after_healing,2.455
basal_after_healing,2.667
basal_after_healing,2.126
basal_after_healing,2.265
basal_after_healing,1.382
basal_after_healing,1.15
basal_after_healing,0.806
basal_after_healing,2.15
basal_after_healing,0.898
basal_after_healing,0.707
basal_after_healing,0.558
basal_after_healing,0.38
basal_after_healing,0.707
basal_after_healing,0.753
basal_after_healing,0.753
basal_after_healing,0.883
basal_after_healing,1.408
basal_after_healing,1.553
basal_after_healing,1.149
basal_after_healing,0.325
basal_after_healing,1.641
basal_after_healing,1.46
basal_after_healing,0.982
basal_after_healing,1.581
basal_after_healing,1.382
basal_after_healing,0.782
basal_after_healing,0.829
basal_after_healing,0.596
basal_after_healing,0.514
basal_after_healing,1.248
basal_after_healing,1.236
basal_after_healing,1.793
basal_after_healing,0.821
basal_after_healing,1.389
basal_after_healing,0.713
basal_after_healing,4.343
basal_after_healing,0.767
basal_after_healing,0.876
basal_after_healing,0.898
basal_after_healing,1.023
basal_after_healing,2.692
basal_after_healing,1.047
basal_after_healing,2.808
basal_after_healing,2.791
basal_after_healing,3.184
basal_after_healing,2.725
basal_after_healing,1.382
basal_after_healing,2.316
basal_after_healing,1.164
basal_after_healing,1.746
basal_after_healing,1.106
basal_after_healing,2.075
basal_after_healing,0.874
basal_after_healing,1.247
basal_after_healing,1.41
basal_after_healing,5.945
basal_after_healing,4.366
basal_after_healing,3.512
basal_after_healing,1.922
basal_after_healing,2.401
basal_after_healing,2.136
basal_after_healing,2.712
basal_after_healing,1.663
basal_after_healing,1.66
basal_after_healing,1.306
basal_after_healing,2.236
basal_after_healing,1.239
basal_after_healing,1.36
basal_after_healing,2.013
