condition,Angle
intact,127.349
intact,160.56
intact,151.39
intact,139.086
intact,116.565
intact,114.677
intact,170.218
intact,157.38
intact,191.31
intact,168.111
intact,208.443
intact,213.69
intact,205.017
intact,239.036
intact,241.189
intact,131.634
intact,87.709
intact,90
intact,128.66
intact,79.992
intact,90
intact,68.199
intact,102.529
intact,145.491
intact,201.801
intact,209.197
intact,216.87
intact,163.072
intact,230.194
intact,162.474
intact,77.196
intact,55.491
intact,185.042
intact,247.166
intact,250.346
intact,180
intact,189.728
intact,114.228
intact,115.201
intact,164.055
intact,150.255
intact,104.036
intact,203.199
intact,238.392
intact,287.819
intact,266.987
intact,296.565
intact,171.87
intact,199.44
intact,173.66
intact,157.38
intact,78.69
intact,338.199
intact,270
intact,259.16
intact,354.898
intact,333.435
intact,54.162
intact,149.744
intact,90
intact,110.376
intact,249.59
intact,233.616
intact,210.964
intact,248.552
intact,168.906
intact,219.588
intact,79.38
intact,80.538
intact,154.537
intact,98.13
intact,203.199
intact,199.359
intact,150.945
intact,219.806
intact,216.87
intact,270
intact,300.379
intact,281.07
intact,252.801
intact,237.095
intact,185.711
intact,235.305
intact,222.51
intact,201.251
intact,169.38
intact,180
intact,330.255
intact,106.699
intact,130.601
intact,143.973
intact,164.358
intact,148.392
intact,181.736
intact,180
intact,90
intact,184.667
intact,187.97
intact,46.219
intact,252.897
intact,143.13
intact,136.397
intact,197.969
intact,182.161
intact,187.253
intact,203.72
intact,215.417
intact,255.964
intact,299.358
intact,330.945
intact,198.435
intact,226.169
intact,290.225
intact,180
intact,180
intact,190.751
intact,197.613
intact,300.069
intact,341.565
intact,336.194
intact,97.431
intact,25.821
intact,175.601
intact,241.074
intact,141.34
intact,169.695
intact,126.87
intact,144.462
intact,116.565
intact,147.426
intact,180
intact,152.241
intact,207.072
intact,123.69
intact,274.289
intact,360
intact,55.491
intact,270
intact,251.565
intact,236.976
intact,241.699
intact,141.34
intact,111.801
intact,126.158
intact,281.31
intact,342.897
intact,177.274
intact,306.87
intact,237.829
intact,225.659
intact,356.634
intact,233.471
intact,228.991
intact,227.603
intact,64.983
intact,143.746
intact,138.814
intact,49.764
intact,345.466
intact,280.62
intact,135
intact,86.82
intact,24.444
intact,340.71
intact,252.646
intact,242.447
intact_4_6-19-19_,111.801
intact_4_6-19-19_,12.011
intact_4_6-19-19_,116.565
intact_4_6-19-19_,112.62
intact_4_6-19-19_,277.907
intact_4_6-19-19_,196.504
intact_4_6-19-19_,67.38
intact_4_6-19-19_,53.13
intact_4_6-19-19_,205.017
intact_4_6-19-19_,104.931
intact_4_6-19-19_,108.8
intact_4_6-19-19_,324.345
intact_4_6-19-19_,88.781
intact_4_6-19-19_,127.235
intact_4_6-19-19_,88.668
intact_4_6-19-19_,182.045
intact_4_6-19-19_,118.443
intact_4_6-19-19_,205.017
intact_4_6-19-19_,208.301
intact_4_6-19-19_,169.509
intact_4_6-19-19_,212.276
intact_4_6-19-19_,174.508
intact_4_6-19-19_,172.747
intact_4_6-19-19_,205.974
intact_4_6-19-19_,229.399
intact_4_6-19-19_,226.848
intact_4_6-19-19_,253.74
intact_4_6-19-19_,249.228
intact_4_6-19-19_,288.435
intact_4_6-19-19_,143.13
intact_4_6-19-19_,136.736
intact_4_6-19-19_,98.13
intact_4_6-19-19_,118.072
intact_4_6-19-19_,98.366
intact_4_6-19-19_,168.44
intact_4_6-19-19_,162.759
intact_4_6-19-19_,157.166
intact_4_6-19-19_,205.408
intact_4_6-19-19_,185.572
intact_4_6-19-19_,177.207
intact_4_6-19-19_,112.62
intact_4_6-19-19_,152.241
intact_4_6-19-19_,275.042
intact_4_6-19-19_,252.897
intact_4_6-19-19_,278.746
intact_image2_4-6-19_,143.881
intact_image2_4-6-19_,160.974
intact_image2_4-6-19_,244.628
intact_image2_4-6-19_,158.587
intact_image2_4-6-19_,176.424
intact_image2_4-6-19_,226.736
intact_image2_4-6-19_,204.647
intact_image2_4-6-19_,239.3
intact_image2_4-6-19_,188.471
intact_image2_4-6-19_,180
intact_image2_4-6-19_,224.193
intact_image2_4-6-19_,209.539
intact_image2_4-6-19_,194.5
intact_image2_4-6-19_,250.201
intact_image2_4-6-19_,230.194
intact_image2_4-6-19_,77.196
intact_image2_4-6-19_,74.055
intact_image2_4-6-19_,90
intact_image2_4-6-19_,168.69
intact_image2_4-6-19_,171.87
intact_image2_4-6-19_,143.746
intact_image2_4-6-19_,343.54
intact_image2_4-6-19_,360
intact_image2_4-6-19_,231.17
intact_image2_4-6-19_,224.029
intact_image2_4-6-19_,194.036
intact_image2_4-6-19_,203.199
intact_image2_4-6-19_,102.995
intact_image2_4-6-19_,150.255
intact_image2_4-6-19_,193.241
intact_image2_4-6-19_,201.801
intact_image2_4-6-19_,245.225
intact_image2_4-6-19_,207.897
intact_image2_4-6-19_,272.793
intact_image2_4-6-19_,228.945
intact_image2_4-6-19_,227.726
intact_image2_4-6-19_,214.902
intact_image2_4-6-19_,209.197
intact_image2_4-6-19_,145.222
intact_image2_4-6-19_,142.595
intact_image2_4-6-19_,168.465
intact_image2_4-6-19_,196.858
intact_image2_4-6-19_,227.045
intact_image2_4-6-19_,236.929
intact_image2_4-6-19_,214.38
intact_image2_4-6-19_,216.87
intact_image2_4-6-19_,201.595
intact_image2_4-6-19_,148.241
intact_image2_4-6-19_,169.046
intact_image2_4-6-19_,214.38
intact_image2_4-6-19_,233.471
intact_image2_4-6-19_,229.764
intact_image2_4-6-19_,337.714
intact_image2_4-6-19_,165.964
intact_image2_4-6-19_,85.323
intact_image2_4-6-19_,124.019
intact_image2_4-6-19_,316.507
intact_image2_4-6-19_,273.406
intact_image2_4-6-19_,288.886
intact_image2_4-6-19_,133.781
intact_image2_4-6-19_,127.185
intact_image2_4-6-19_,253.54
intact_image2_4-6-19_,154.058
intact_image2_4-6-19_,188.13
intact_image2_4-6-19_,261.87
intact_image2_4-6-19_,260.218
intact_image2_4-6-19_,261.027
intact_image2_4-6-19_,235.008
intact_image2_4-6-19_,202.834
intact_image2_4-6-19_,169.919
intact_image2_4-6-19_,200.925
intact_image2_4-6-19_,180
intact_image2_4-6-19_,302.005
intact_image2_4-6-19_,333.435
intact_image2_4-6-19_,270
intact_image2_4-6-19_,276.009
intact_image2_4-6-19_,275.194
intact_image2_4-6-19_,262.648
intact_image2_4-6-19_,34.216
intact_image2_4-6-19_,315
intact_image2_4-6-19_,213.311
intact_image2_4-6-19_,312.979
intact_image2_4-6-19_,248.962
intact_image2_4-6-19_,176.82
intact_image2_4-6-19_,221.424
intact_image4_4-6-19_,169.046
intact_image4_4-6-19_,151.699
intact_image4_4-6-19_,174.508
intact_image4_4-6-19_,138.18
intact_image4_4-6-19_,258.366
intact_image4_4-6-19_,236.31
intact_image4_4-6-19_,244.398
intact_image4_4-6-19_,253.413
intact_image4_4-6-19_,178.315
intact_image4_4-6-19_,312.647
intact_image4_4-6-19_,331.699
intact_image4_4-6-19_,293.962
intact_image4_4-6-19_,287.879
intact_image4_4-6-19_,318.18
intact_image4_4-6-19_,270
