condition,length
basal_intact,2.592
basal_intact,1.955
basal_intact,1.359
basal_intact,1.076
basal_intact,1.698
basal_intact,2.208
basal_intact,1.596
basal_intact,2.115
basal_intact,1.936
basal_intact,4.212
basal_intact,1.48
basal_intact,0.978
basal_intact,0.898
basal_intact,1.581
basal_intact,1.238
basal_intact,1.306
basal_intact,1.357
basal_intact,1.519
basal_intact,1.389
basal_intact,0.936
basal_intact,0.542
basal_intact,0.876
basal_intact,1
basal_intact,2.106
basal_intact,0.876
basal_intact,2.112
basal_intact,0.813
basal_intact,1.304
basal_intact,1.271
basal_intact,1.081
basal_intact,1.224
basal_intact,1.053
basal_intact,1.851
basal_intact,1.118
basal_intact,0.806
basal_intact,2.766
basal_intact,1.926
basal_intact,1.189
basal_intact,1.019
basal_intact,0.395
basal_intact,1.312
basal_intact,1.118
basal_intact,0.826
basal_intact,0.828
basal_intact,1.595
basal_intact,1.032
basal_intact,0.606
basal_intact,1.917
basal_intact,0.978
basal_intact,0.982
basal_intact,0.705
basal_intact,1.659
basal_intact,2.044
basal_intact,0.705
basal_intact,2.595
basal_intact,3.049
basal_intact,0.728
basal_intact,2.408
basal_intact,3.014
basal_intact,0.651
basal_intact,2.025
basal_intact,2.488
basal_intact,2.56
basal_intact,0.949
basal_intact,1.631
basal_intact,2.819
basal_intact,3.659
basal_intact,0.883
basal_intact,0.66
basal_intact,2.523
basal_intact,0.767
basal_intact,1.239
basal_intact,2.127
basal_intact,2.792
basal_intact,2.541
basal_intact,2.169
basal_intact,1.627
basal_intact,1.823
basal_intact,2.542
basal_intact,2.384
basal_intact,1.098
basal_intact,2.725
basal_intact,3.43
basal_intact,2.649
basal_intact,1.047
basal_intact,0.883
basal_intact,1.085
basal_intact,0.437
basal_intact,0.566
basal_intact,1
basal_intact,0.738
basal_intact,1.408
basal_intact,0.828
basal_intact,1.79
basal_intact,2.224
basal_intact,0.488
basal_intact,2.666
basal_intact,2.738
basal_intact,1.803
basal_intact,0.738
basal_intact,4.339
basal_intact,4.718
basal_intact,4.219
basal_intact,2.876
basal_intact,3.007
basal_intact,3.91
basal_intact,2.995
basal_intact,1.789
basal_intact,0.996
basal_intact,1.117
basal_intact,2.572
basal_intact,1.879
basal_intact,1.098
basal_intact,5.099
basal_intact,2.779
basal_intact,4.361
basal_intact,3.585
basal_intact,1.191
basal_intact,5.145
basal_intact,4.031
basal_intact,1.258
basal_intact,1.868
basal_intact,1.414
basal_intact,2.355
basal_intact,1.736
basal_intact,2.425
basal_intact,0.542
basal_intact,0.467
basal_intact,0.364
basal_intact,2.317
basal_intact,1.193
basal_intact,1.164
basal_intact,2.741
basal_intact,1.564
basal_intact,2.175
basal_intact,1.681
basal_intact,1.053
basal_intact,0.922
basal_intact,1.2
basal_intact,1.294
basal_intact,0.801
basal_intact,1.389
basal_intact,0.876
basal_intact,1.746
basal_intact,1.106
basal_intact,0.738
basal_intact,4.561
basal_intact,1.085
basal_intact,3.972
basal_intact,3.337
basal_intact,0.924
basal_intact,1.822
basal_intact,1.653
basal_intact,1.689
basal_intact,0.898
basal_intact,1.009
basal_intact,0.576
basal_intact,1.847
basal_intact,1.513
basal_intact,0.883
basal_intact,1.074
basal_intact,0.978
basal_intact,0.655
basal_intact,1.149
basal_intact,0.909
basal_intact,1.407
basal_intact,2.341
basal_intact,2.611
