embryo,angle
1,282.7
2,277.1
3,259.9
4,266.9
5,248.5
6,242.2
7,203.9
8,193
9,180
10,24.6
11,35
12,30.1
13,356.9
14,307.3
15,112.8
16,100
17,187.6
18,222.5
19,254.7
20,191.3
21,304.2
22,278.5
23,279.5
24,270
25,288.4
26,281.8
27,45
28,114.3
29,240.3
30,265.8
31,162.5
32,233.7
33,123.7
34,208.1
35,188.4
36,140.2
37,150
38,235.3
39,96.7
40,273.1
41,239.9
42,253.4
43,246.6
44,281.3
45,278.5
46,262.2
47,190.7
48,196.7
49,227.1
50,128.7
51,146.5
52,120.3
53,142.6
54,249.7
55,328
56,51.5
57,113.2
58,92.2
59,229.1
60,240.1
61,280.2
62,120.3
63,64.1
64,33.2
65,128.2
66,194.9
67,254.7
68,260.5
69,228.4
70,210.3
71,206.6
72,282.5
73,272.7
74,275
75,69.4
76,100.9
77,41.2
78,70.2
79,100.6
80,97.1
81,321.1
82,270
83,287.4
84,188.4
85,270
86,274.8
87,281.3
88,73.7
89,25.2
90,239.7
91,238.7
92,351.9
93,266.1
94,149
95,171.4
96,225
97,222.5
98,22.6
99,63.4
100,272.8
101,267.1
102,3.8
103,270
104,257
105,222
106,230.2
107,239.9
108,51.1
109,343
110,17.2
111,276.3
112,265.5
113,264.6
114,49.6
115,292.9
116,2.2
117,33.2
118,110.9
119,248.7
120,171.6
121,180
122,245.2
123,4.5
124,240.6
125,294.4
126,300.1
127,111.5
128,147
129,354.9
130,47.5
131,170.4
132,238.7
133,243.4
134,165.5
135,190.6
136,63.4
137,95.7
138,138.8
139,217.4
140,201
141,201.4
142,160.8
143,216.9
144,249
145,253
146,264.6
147,135
148,69
149,99
150,15.5
151,90
152,227.1
153,66
154,202.6
155,146.9
156,156.6
157,162.4
158,155.4
159,167.5
160,150.6
161,197.1
162,213.1
163,206.6
164,213.7
165,268.1
166,189.1
167,195.3
168,61.2
169,241.6
170,167.9
171,178.2
172,205.1
173,228.4
174,267.3
175,93.1
176,173.2
177,168.4
178,285.5
179,299.4
180,186.9
181,160.6
182,212.3
183,161.1
184,222.3
185,211.2
186,241.1
187,345.5
188,177.4
189,192
190,218.9
191,258.7
192,194
193,196.5
194,81.6
195,183.7
196,168.1
197,166.5
198,160.3
199,135
200,109.3
201,162.3
202,154.9
203,97.1
204,175.6
205,198.9
206,122.6
207,160.1
208,228.8
209,252.3
210,121.8
211,209.7
212,165.6
213,166
214,199.7
215,342.6
216,296.6
217,276.1
218,327
219,185.7
220,223.2
221,357.1
222,272.1
223,274.8
224,114.5
225,203.7
226,209.4
227,243.8
228,260.5
229,258.2
230,42.5
231,189.1
232,163.7
233,236.3
234,156.4
235,6.7
236,34.2
237,19.3
238,43.7
239,297.4
240,6.3
241,353.7
242,163.8
243,194
244,209.2
245,88.6
246,192.5
247,240.5
248,161.2
249,6.9
250,14.3
251,2.4
252,315
253,270
254,47.4
255,52.4
256,76
257,69.9
258,163.7
259,145.5
260,145
261,350.5
262,355.4
263,321.1
264,330.3
265,59.3
266,44.3
267,68.2
268,355
269,174.1
270,185
271,180
272,212.2
273,222.1
274,208.3
275,219.5
276,206.6
277,192.3
278,220.1
279,171.2
280,188.7
281,195.8
282,251.6
283,226.7
284,187.7
285,152.7
286,143.5
287,214.1
288,205.1
289,164.6
290,172.9
291,152
292,186.5
293,236.3
294,186.6
295,311.8
296,342.3
297,133.5
298,160.3
299,134.2
300,332.5
301,318
302,66
303,350.9
304,40
305,344.9
306,42.1
307,257
308,194
309,241.7
310,11.6
311,227.9
312,243.4
313,74.1
314,68.2
315,260.1
316,283.1
317,253.4
318,264.3
319,255.3
320,258.2
321,241.5
322,253.6
323,273.8
324,318.8
325,256.5
326,268.6
327,244.1
328,219.8
329,244.7
330,187.7
331,193.2
332,213.7
333,209.7
334,206.6
335,243.4
336,241.7
337,222.8
338,287.7
339,273.2
340,248.6
341,257.9
342,235
343,176.5
344,230.5
345,175.9
346,122
347,142.4
348,205.9
349,242.1
350,255.3
351,231.3
352,218.7
353,236.9
354,83.1
355,129.2
356,221.2
357,107.8
358,320.8
359,32
360,337.1
361,110.6
362,187.9
363,227.5
364,78.2
365,328.4
366,96.3
367,87.1
368,318.8
369,345.4
370,268.3
371,156.4
372,143.1
373,168.1
374,151.6
375,99.5
376,173.5
377,165.2
378,162.9
379,208.6
380,285.9
381,325.5
382,357.6
383,261.3
384,356.6
385,191
386,163.7
387,116.6
388,155.1
389,68.7
390,104.6
391,73.3
392,67.8
393,151.9
394,62.8
395,228.5
396,180
397,68.6
398,94.4
