condition,Angle
skinned_basal_6-9-19_skinned_1_,66.975
skinned_basal_6-9-19_skinned_1_,256.759
skinned_basal_6-9-19_skinned_1_,261.87
skinned_basal_6-9-19_skinned_1_,263.29
skinned_basal_6-9-19_skinned_1_,70.017
skinned_basal_6-9-19_skinned_1_,75.256
skinned_basal_6-9-19_skinned_1_,104.036
skinned_basal_6-9-19_skinned_1_,104.036
skinned_basal_6-9-19_skinned_1_,59.744
skinned_basal_6-9-19_skinned_1_,93.814
skinned_basal_6-9-19_skinned_1_,26.565
skinned_basal_6-9-19_skinned_1_,260.538
skinned_basal_6-9-19_skinned_1_,255.964
skinned_basal_6-9-19_skinned_1_,265.601
skinned_basal_6-9-19_skinned_1_,187.853
skinned_basal_6-9-19_skinned_1_,152.526
skinned_basal_6-9-19_skinned_1_,96.843
skinned_basal_6-9-19_skinned_1_,255.964
skinned_basal_6-9-19_skinned_1_,360
skinned_basal_6-9-19_skinned_1_,36.87
skinned_basal_6-9-19_skinned_1_,110.556
skinned_basal_6-9-19_skinned_1_,100.62
skinned_basal_6-9-19_skinned_1_,231.71
skinned_basal_6-9-19_skinned_1_,216.87
skinned_basal_6-9-19_skinned_1_,266.186
skinned_basal_6-9-19_skinned_1_,348.111
skinned_basal_6-9-19_skinned_1_,57.529
skinned_basal_6-9-19_skinned_1_,74.358
skinned_basal_6-9-19_skinned_1_,53.746
skinned_basal_6-9-19_skinned_1_,270
skinned_basal_6-9-19_skinned_1_,26.565
skinned_basal_6-9-19_skinned_1_,82.569
skinned_basal_6-9-19_skinned_1_,71.565
skinned_basal_6-9-19_skinned_2_,2.49
skinned_basal_6-9-19_skinned_2_,315
skinned_basal_6-9-19_skinned_2_,149.534
skinned_basal_6-9-19_skinned_2_,333.435
skinned_basal_6-9-19_skinned_2_,356.186
skinned_basal_6-9-19_skinned_2_,9.462
skinned_basal_6-9-19_skinned_2_,297.646
skinned_basal_6-9-19_skinned_2_,270
skinned_basal_6-9-19_skinned_2_,335.556
skinned_basal_6-9-19_skinned_2_,293.199
skinned_basal_6-9-19_skinned_2_,307.304
skinned_basal_6-9-19_skinned_2_,23.629
skinned_basal_6-9-19_skinned_2_,65.225
skinned_basal_6-9-19_skinned_2_,84.289
skinned_basal_6-9-19_skinned_2_,11.889
skinned_basal_6-9-19_skinned_2_,336.038
skinned_basal_6-9-19_skinned_3_,51.34
skinned_basal_6-9-19_skinned_3_,357.337
skinned_basal_6-9-19_skinned_3_,6.843
skinned_basal_6-9-19_skinned_3_,323.13
skinned_basal_6-9-19_skinned_3_,350.538
skinned_basal_6-9-19_skinned_3_,141.843
skinned_basal_6-9-19_skinned_3_,283.496
skinned_basal_6-9-19_skinned_3_,78.232
skinned_basal_6-9-19_skinned_3_,336.038
skinned_basal_6-9-19_skinned_3_,257.661
