condition,length
basal_skinned_length,2.357
basal_skinned_length,1.894
basal_skinned_length,1.15
basal_skinned_length,0.928
basal_skinned_length,1.269
basal_skinned_length,1.065
basal_skinned_length,1.341
basal_skinned_length,1.118
basal_skinned_length,0.753
basal_skinned_length,0.815
basal_skinned_length,0.849
basal_skinned_length,0.989
basal_skinned_length,1.341
basal_skinned_length,0.707
basal_skinned_length,3.196
basal_skinned_length,1.495
basal_skinned_length,1.349
basal_skinned_length,1.611
basal_skinned_length,1.115
basal_skinned_length,1.079
basal_skinned_length,0.944
basal_skinned_length,0.909
basal_skinned_length,1.302
basal_skinned_length,1.114
basal_skinned_length,0.804
basal_skinned_length,1.041
basal_skinned_length,1.385
basal_skinned_length,1.427
basal_skinned_length,0.99
basal_skinned_length,0.579
basal_skinned_length,1.096
basal_skinned_length,1.255
basal_skinned_length,1.367
basal_skinned_length,1.251
basal_skinned_length,0.307
basal_skinned_length,1.072
basal_skinned_length,0.85
basal_skinned_length,1.634
basal_skinned_length,1.322
basal_skinned_length,1.288
basal_skinned_length,0.761
basal_skinned_length,1.313
basal_skinned_length,0.828
basal_skinned_length,2.869
basal_skinned_length,0.949
basal_skinned_length,0.778
basal_skinned_length,1.092
basal_skinned_length,1.055
basal_skinned_length,0.535
basal_skinned_length,1.392
basal_skinned_length,2.339
basal_skinned_length,1.368
basal_skinned_length,0.815
basal_skinned_length,0.991
basal_skinned_length,0.967
basal_skinned_length,1.397
basal_skinned_length,1.332
basal_skinned_length,1.07
basal_skinned_length,1.78
basal_skinned_length,1.978
basal_skinned_length,1.119
basal_skinned_length,1.093
basal_skinned_length,0.979
basal_skinned_length,1.146
basal_skinned_length,1.12
basal_skinned_length,1.134
basal_skinned_length,0.438
basal_skinned_length,1.093
basal_skinned_length,0.755
basal_skinned_length,1.17
basal_skinned_length,1.087
basal_skinned_length,1.146
basal_skinned_length,0.554
basal_skinned_length,1.12
basal_skinned_length,1.193
basal_skinned_length,2.412
basal_skinned_length,1.752
basal_skinned_length,0.656
basal_skinned_length,0.768
basal_skinned_length,1.556
basal_skinned_length,0.963
basal_skinned_length,0.661
basal_skinned_length,1.323
basal_skinned_length,0.989
basal_skinned_length,1.447
basal_skinned_length,1.074
basal_skinned_length,1.507
basal_skinned_length,0.847
basal_skinned_length,0.806
basal_skinned_length,2.115
basal_skinned_length,1.204
basal_skinned_length,1.212
basal_skinned_length,1.248
basal_skinned_length,1.258
basal_skinned_length,0.977
basal_skinned_length,1.922
basal_skinned_length,1.752
basal_skinned_length,1.602
basal_skinned_length,1.681
basal_skinned_length,1.553
basal_skinned_length,0.813
