Time,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30
-63,,,,,,,,-0.108,,,,,,,,,,,,,,,,,,,,,,
-62,,,,,,,,-0.396,,,,,,,,,,,,,,,,,,,,,,
-61,,,,,,,,-1.296,,,,,,,,,,,,,,,,,,,,,,
-60,,,,,,,,-1.116,,,,,,,,,,,,,,,,,,,,,,
-59,,,,,,,,-0.72,,,,,,,,,,,,,,,,,,,,,,
-58,,,,,,,,-0.504,,,,,,,,,,,,,,,,,,,,,,
-57,,,,,,,-0.144,-0.576,,,,,,,,,,,,,,,,,,,,,,
-56,,,,,,,-1.152,0.072,,,,,,,,,,,,,,,,,,,,,,
-55,,,,,,,-1.055808,-0.612,,,,,,,,,,,,,,,,,,,,,,
-54,,,,,,,-1.248192,-0.252,,,,,,,,,,,,,,,,,,,,,,
-53,,,,,,,-0.864,-0.504,,,,,,,,,,,,,,,,,,,,,,
-52,,,,,,,-1.152,-0.72,,,,,,,,,,,,,,,,,,,,,,
-51,,,,,,,0.432,-0.504,,,,,,,,,,,,,,,,,,,,,,
-50,,,,,,,-0.047808,-0.252,,,,,,,,,,,,,,,,,,,,,,
-49,,,,,,,-0.288,-0.756,,,,,,,,,,,,,,,,,,,,,,
-48,,,,,-0.144,,-0.240192,0,,,,,,,,,,,,,,,,,,,,,,
-47,,,,,-1.248192,,-0.335808,-1.368,,,,,,,,,,,,-0.08125,,,,,,,,,,
-46,,,,,-1.199808,,-0.384192,-0.072,,,,,,,,,,,,-0.040625,,,,,,,,,,
-45,,,,,-1.248192,,-0.047808,0.432,,,,,,,,,,,,-0.365625,,,,,,,,,,
-44,,,,,0.048096,,-0.144,0.144,,,,,,,,,,,,-0.446875,,,,,,,,,,
-43,,,,0,0.192096,,0.047808,0.108,,,,,0.1625,,,-0.56875,0.365625,-0.08125,,-0.284375,,,,,,,,,,
-42,,,,-1.535904,0.095904,,-0.767808,-0.036,,,,,0.027105,,,0.40625,0.121875,-0.08125,,-0.203125,,,,,,,,,,
-41,,,,-1.248192,-0.336096,,-1.008,-0.432,,,,,-0.7041775,,,-0.203125,0,-0.853125,,-0.203125,,,,,,,,,,
-40,,,,-0.864,-0.335808,,0.239904,-0.216,,,,,0.0541775,,,0.040625,-0.121875,-0.08125,,-0.284375,,,,,,,,,,
-39,,,,-0.959904,-0.72,,0.432,0.36,,,,,-0.325,,,0.040625,0,0.040625,,-0.1625,,,,,,,,,,
-38,,,0.072,-0.383904,-0.144,,0.048096,-0.576,,,,,-0.433355,,,-0.325,-0.08125,-0.121875,,0.609375,,,,,,,,,,
-37,,,-1.224,0,-0.432,,-0.096192,-0.54,,,,,-0.1625,,,0.08125,0,0.1625,,-0.08125,,,,,,,,,,
-36,-0.072,,-1.08,0,0.576,,0.192096,0.396,-0.144,,,,-0.704145,,,-0.89375,0.121875,-1.1375,,-0.1625,,,,,,,,,,
-35,-1.296,,-1.368,-0.576,-0.576,,-0.432,0.648,-1.008,,,,0.0270725,,,0.1625,0.934375,0.1625,,-0.24375,,,,,,,,,,
-34,-1.728,,-0.072,-0.528192,0,,0.480096,1.728,-1.44,,,,-0.5145725,,,0.528125,0.203125,-0.65,,-0.040625,0.330165,,,,,,,,,
-33,-1.224,,-0.36,-0.432,-0.048096,,0.095904,0.684,-1.200096,,,,0.0270725,,,-0.365625,0,-0.08125,,-1.21875,0.770385,,,,,,,,,
-32,-0.288,,0.36,-0.095904,0.432,-0.252,0.432,1.044,-0.383904,,,,-0.08125,,,-0.325,-0.365625,0.24375,,-0.1625,0.44022,,,,,,,,,
-31,-0.216,,0,-0.095904,-0.095904,-0.792,0.480096,1.368,-0.768096,,,0,0.1895725,,0.1625,-0.325,0.56875,-0.08125,,0.40625,0.0550275,,,,,,,,,
-30,0.576,,0.216,-0.144,0.144,-0.972,0.911808,0.756,0.095904,,,-0.446875,-0.4875,,-0.65,-0.1625,-0.446875,0,,-0.934375,0.6053025,,,,,,,,,
-29,-0.072,,-0.144,-0.288,0.288,-1.44,0.960192,1.116,0.048096,0.191808,,-0.89375,-0.5958225,,0.2166775,-0.65,0.40625,-0.284375,,0.325,0.4952475,,,,,,,,,
-28,-0.432,,0,0.335808,-0.528192,-1.008,0.911808,1.008,-0.864,-0.671904,,0.08125,-0.3520725,,-0.65,-0.4875,-0.284375,-1.096875,,0,0,,,,,,,,,
-27,0.792,0.288,-0.288,0.144,-0.335808,-0.432,0,1.008,-0.480096,-1.008,,-0.446875,0.216645,-0.8125,0.0541775,-0.365625,0.284375,-0.528125,,0.121875,0.550275,,,,,,,,,
