Condition,Angle
100% Matrigel,41.186
100% Matrigel,302.735
100% Matrigel,311.309
100% Matrigel,311.634
100% Matrigel,356.424
100% Matrigel,171.87
100% Matrigel,337.62
100% Matrigel,258.69
100% Matrigel,209.932
100% Matrigel,225
100% Matrigel,268.21
100% Matrigel,252.121
100% Matrigel,214.992
100% Matrigel,73.496
100% Matrigel,53.746
100% Matrigel,172.875
100% Matrigel,38.047
100% Matrigel,175.426
100% Matrigel,233.13
100% Matrigel,142.524
100% Matrigel,246.251
100% Matrigel,152.176
100% Matrigel,143.13
100% Matrigel,350.538
100% Matrigel,310.236
100% Matrigel,331.189
100% Matrigel,21.038
100% Matrigel,130.815
100% Matrigel,62.241
100% Matrigel,50.194
100% Matrigel,68.962
100% Matrigel,256.43
100% Matrigel,244.359
100% Matrigel,334.231
100% Matrigel,268.025
100% Matrigel,286.39
100% Matrigel,329.036
100% Matrigel,120.256
100% Matrigel,127.405
100% Matrigel,2.203
100% Matrigel,336.801
100% Matrigel,332.103
100% Matrigel,293.629
100% Matrigel,320.194
100% Matrigel,330.642
100% Matrigel,260.838
100% Matrigel,333.435
100% Matrigel,326.31
100% Matrigel,324.462
100% Matrigel,116.565
100% Matrigel,294.444
100% Matrigel,307.569
100% Matrigel,329.036
100% Matrigel,315
100% Matrigel,8.13
100% Matrigel,311.424
100% Matrigel,306.87
100% Matrigel,350.538
100% Matrigel,107.745
100% Matrigel,210.7
100% Matrigel,127.304
100% Matrigel,141.71
100% Matrigel,114.775
100% Matrigel,102.995
100% Matrigel,355.426
100% Matrigel,360
100% Matrigel,257.196
100% Matrigel,265.236
100% Matrigel,239.744
100% Matrigel,351.254
100% Matrigel,334.799
100% Matrigel,173.66
100% Matrigel,162.646
100% Matrigel,102.381
100% Matrigel,252.255
100% Matrigel,338.962
100% Matrigel,244.359
100% Matrigel,96.34
100% Matrigel,75.964
100% Matrigel,17.354
100% Matrigel,66.801
100% Matrigel,161.565
100% Matrigel,278.13
100% Matrigel,119.358
100% Matrigel,259.992
100% Matrigel,273.366
100% Matrigel,297.408
100% Matrigel,2.603
100% Matrigel,74.745
100% Matrigel,15.945
100% Matrigel,34.992
100% Matrigel,137.121
100% Matrigel,165.964
100% Matrigel,234.162
100% Matrigel,265.236
100% Matrigel,316.332
100% Matrigel,68.199
100% Matrigel,56.31
100% Matrigel,13.627
100% Matrigel,209.982
100% Matrigel,57.995
100% Matrigel,143.973
100% Matrigel,156.371
100% Matrigel,316.975
100% Matrigel,43.025
100% Matrigel,263.991
100% Matrigel,348.44
100% Matrigel,265.101
100% Matrigel,258.111
100% Matrigel,244.799
100% Matrigel,285.422
100% Matrigel,282.529
100% Matrigel,218.991
100% Matrigel,10.784
100% Matrigel,300.379
100% Matrigel,36.027
100% Matrigel,21.501
100% Matrigel,16.39
100% Matrigel,162.646
100% Matrigel,16.189
100% Matrigel,142.853
100% Matrigel,122.276
100% Matrigel,108.435
100% Matrigel,288.925
100% Matrigel,118.61
100% Matrigel,90
100% Matrigel,39.094
100% Matrigel,19.799
100% Matrigel,86.186
100% Matrigel,70.56
100% Matrigel,332.7
100% Matrigel,335.095
100% Matrigel,56.31
100% Matrigel,57.529
100% Matrigel,51.34
100% Matrigel,305.166
100% Matrigel,270
100% Matrigel,235.305
100% Matrigel,239.036
100% Matrigel,239.744
100% Matrigel,360
100% Matrigel,174.806
100% Matrigel,168.69
100% Matrigel,336.194
100% Matrigel,321.582
100% Matrigel,309.806
100% Matrigel,337.38
100% Matrigel,335.376
100% Matrigel,157.834
100% Matrigel,301.759
100% Matrigel,334.799
100% Matrigel,312.51
100% Matrigel,330.945
100% Matrigel,262.875
100% Matrigel,286.26
100% Matrigel,182.726
100% Matrigel,70.56
100% Matrigel,318.013
100% Matrigel,345.964
100% Matrigel,169.177
100% Matrigel,213.111
100% Matrigel,191.31
100% Matrigel,192.804
100% Matrigel,352.476
100% Matrigel,225
100% Matrigel,278.915
100% Matrigel,281.31
100% Matrigel,246.801
100% Matrigel,25.463
100% Matrigel,13.241
100% Matrigel,266.987
100% Matrigel,259.38
100% Matrigel,230.711
