pre,post
0.196540541,0.671309353
-0.156437333,0.818254389
0.013263158,0.66
0.037955721,0.776362909
0.147996,0.571464567
0.052875,0.681230769
0.150740211,0.780201763
0.229142857,0.673392857
0.070664,0.651279885
0.057927724,0.742684932
0.064144737,0.838836207
-0.199193548,0.799671053
-0.040939419,0.867449979
-0.054166667,1.012363139
-0.136290323,0.780325977
0.015116279,0.796720041
0.105813953,0.938068182
0.103924419,1.007902893
-0.377573529,0.884630102
0.15212766,0.982291667
0.271993071,0.989244375
-0.006878438,0.944472
0.059103611,0.955573702
0.067726154,0.70813389
0.425546,0.720516328
0.256795,0.8774385
0.409954875,0.866449958
-0.330165,0.9134565
0.0917125,0.894447
0.024762375,0.845931229
